"geno,treatment,level,rep"
"S55,W,73.35,1"
"fer-4-rd26q,W,73.35,1"
"S102,W,73.35,1"
"fer-4,W,73.35,1"
"rd26q,W,73.35,1"
"S318,H,154.04,1"
"S77,W,154.04,1"
"rd26q,H,154.04,1"
"S318,W,154.04,1"
"S31,H,154.04,1"
"S77,W,73.35,1"
"S31,W,154.04,1"
"fer-4-rd26q,H,154.04,1"
"S56,W,73.35,1"
"WT,W,154.04,1"
"S318,W,73.35,1"
"WT,W,73.35,1"
"S77,H,154.04,1"
"S56,H,154.04,1"
"S31,W,73.35,1"
"S55,W,154.04,1"
"S102,H,154.04,1"
"S55,H,154.04,1"
"fer-4-rd26q,W,154.04,1"
"S102,W,154.04,1"
"fer-4,H,154.04,1"
"S56,W,154.04,1"
"rd26q,W,154.04,1"
"WT,H,154.04,1"
"fer-4,W,154.04,1"
"fer-4,W,154.04,2"
"S56,W,73.35,2"
"S31,W,154.04,2"
"S31,H,154.04,2"
"S318,W,154.04,2"
"S55,H,154.04,2"
"S102,W,154.04,2"
"S318,W,73.35,2"
"S318,H,154.04,2"
"S31,W,73.35,2"
"S55,W,154.04,2"
"fer-4,W,73.35,2"
"S56,H,154.04,2"
"rd26q,W,73.35,2"
"fer-4-rd26q,H,154.04,2"
"fer-4,H,154.04,2"
"rd26q,H,154.04,2"
"WT,W,73.35,2"
"S77,H,154.04,2"
"S102,H,154.04,2"
"fer-4-rd26q,W,154.04,2"
"S77,W,73.35,2"
"S77,W,154.04,2"
"rd26q,W,154.04,2"
"S102,W,73.35,2"
"WT,H,154.04,2"
"WT,W,154.04,2"
"S56,W,154.04,2"
"S55,W,73.35,2"
"fer-4-rd26q,W,73.35,2"
"S318,H,154.04,3"
"S77,H,154.04,3"
"S77,W,154.04,3"
"S318,W,73.35,3"
"WT,H,154.04,3"
"rd26q,H,154.04,3"
"S31,W,73.35,3"
"S31,W,154.04,3"
"S102,H,154.04,3"
"fer-4-rd26q,H,154.04,3"
"WT,W,154.04,3"
"S318,W,154.04,3"
"S56,W,154.04,3"
"S102,W,154.04,3"
"rd26q,W,73.35,3"
"rd26q,W,154.04,3"
"fer-4,W,154.04,3"
"fer-4-rd26q,W,73.35,3"
"S31,H,154.04,3"
"S77,W,73.35,3"
"WT,W,73.35,3"
"S102,W,73.35,3"
"S55,W,73.35,3"
"S56,W,73.35,3"
"fer-4,W,73.35,3"
"S55,H,154.04,3"
"S55,W,154.04,3"
"fer-4-rd26q,W,154.04,3"
"fer-4,H,154.04,3"
"S56,H,154.04,3"
"S56,W,154.04,4"
"S31,W,154.04,4"
"rd26q,W,154.04,4"
"S56,W,73.35,4"
"S318,W,73.35,4"
"S31,H,154.04,4"
"fer-4-rd26q,W,73.35,4"
"WT,H,154.04,4"
"S77,H,154.04,4"
"S77,W,154.04,4"
"fer-4-rd26q,W,154.04,4"
"S56,H,154.04,4"
"fer-4,H,154.04,4"
"rd26q,H,154.04,4"
"fer-4-rd26q,H,154.04,4"
"S77,W,73.35,4"
"S102,W,154.04,4"
"WT,W,73.35,4"
"rd26q,W,73.35,4"
"WT,W,154.04,4"
"S102,W,73.35,4"
"S102,H,154.04,4"
"S318,W,154.04,4"
"S31,W,73.35,4"
"fer-4,W,73.35,4"
"S55,W,154.04,4"
"S55,H,154.04,4"
"S318,H,154.04,4"
"S55,W,73.35,4"
"fer-4,W,154.04,4"
"fer-4-rd26q,W,154.04,5"
"S77,H,154.04,5"
"S318,W,73.35,5"
"S56,W,154.04,5"
"S55,W,154.04,5"
"fer-4-rd26q,W,73.35,5"
"S102,W,154.04,5"
"S77,W,154.04,5"
"rd26q,H,154.04,5"
"fer-4,H,154.04,5"
"WT,H,154.04,5"
"rd26q,W,154.04,5"
"S56,W,73.35,5"
"S31,W,73.35,5"
"WT,W,73.35,5"
"fer-4,W,73.35,5"
"fer-4,W,154.04,5"
"S77,W,73.35,5"
"S102,H,154.04,5"
"rd26q,W,73.35,5"
"S102,W,73.35,5"
"fer-4-rd26q,H,154.04,5"
"S31,W,154.04,5"
"S55,H,154.04,5"
"S318,W,154.04,5"
"S55,W,73.35,5"
"WT,W,154.04,5"
"S56,H,154.04,5"
"S31,H,154.04,5"
"S318,H,154.04,5"
"S55,W,73.35,6"
"S102,W,73.35,6"
"S77,W,73.35,6"
"S318,W,154.04,6"
"S31,W,73.35,6"
"S31,H,154.04,6"
"S318,H,154.04,6"
"S77,H,154.04,6"
"fer-4,W,73.35,6"
"S102,H,154.04,6"
"S56,W,154.04,6"
"S55,W,154.04,6"
"fer-4,H,154.04,6"
"WT,H,154.04,6"
"S55,H,154.04,6"
"WT,W,154.04,6"
"rd26q,W,73.35,6"
"S318,W,73.35,6"
"rd26q,H,154.04,6"
"fer-4-rd26q,W,73.35,6"
"S31,W,154.04,6"
"fer-4-rd26q,W,154.04,6"
"S56,W,73.35,6"
"rd26q,W,154.04,6"
"fer-4-rd26q,H,154.04,6"
"WT,W,73.35,6"
"fer-4,W,154.04,6"
"S56,H,154.04,6"
"S77,W,154.04,6"
"S102,W,154.04,6"
"S77,H,154.04,7"
"S77,W,73.35,7"
"S31,H,154.04,7"
"fer-4-rd26q,H,154.04,7"
"WT,W,73.35,7"
"S56,H,154.04,7"
"S102,H,154.04,7"
"WT,W,154.04,7"
"S318,W,154.04,7"
"rd26q,W,73.35,7"
"S56,W,154.04,7"
"S55,W,154.04,7"
"S77,W,154.04,7"
"rd26q,H,154.04,7"
"S31,W,154.04,7"
"fer-4,W,73.35,7"
"fer-4,H,154.04,7"
"S318,H,154.04,7"
"S318,W,73.35,7"
"rd26q,W,154.04,7"
"S56,W,73.35,7"
"S31,W,73.35,7"
"fer-4-rd26q,W,154.04,7"
"S102,W,73.35,7"
"fer-4-rd26q,W,73.35,7"
"S55,H,154.04,7"
"S55,W,73.35,7"
"fer-4,W,154.04,7"
"S102,W,154.04,7"
"WT,H,154.04,7"
"S31,H,154.04,8"
"S77,W,154.04,8"
"rd26q,W,73.35,8"
"S31,W,73.35,8"
"S56,H,154.04,8"
"WT,H,154.04,8"
"S56,W,154.04,8"
"WT,W,73.35,8"
"rd26q,W,154.04,8"
"S55,W,73.35,8"
"S318,H,154.04,8"
"WT,W,154.04,8"
"fer-4,H,154.04,8"
"S77,H,154.04,8"
"S31,W,154.04,8"
"S102,W,154.04,8"
"fer-4,W,154.04,8"
"S102,W,73.35,8"
"S318,W,73.35,8"
"fer-4-rd26q,W,154.04,8"
"rd26q,H,154.04,8"
"S55,H,154.04,8"
"S318,W,154.04,8"
"S56,W,73.35,8"
"fer-4-rd26q,W,73.35,8"
"S77,W,73.35,8"
"fer-4-rd26q,H,154.04,8"
"S55,W,154.04,8"
"fer-4,W,73.35,8"
"S102,H,154.04,8"
