"geno,treatment,level,rep"
"bes1-D,H,174.96,1"
"bes1-D,W,174.96,1"
"bes1-D,W,82.51,1"
"SINAT-RNAi,H,174.96,1"
"SINAT-RNAi,W,174.96,1"
"SINAT-RNAi,W,82.51,1"
"atg7-2,H,174.96,1"
"atg7-2,W,82.51,1"
"atg7-2,W,174.96,1"
"DSK2-RNAi,W,174.96,1"
"DSK2-RNAi,H,174.96,1"
"DSK2-RNAi,W,82.51,1"
"wrky54t-nbr1-1,W,82.51,1"
"wrky54t-nbr1-1,H,174.96,1"
"wrky54t-nbr1-1,W,174.96,1"
"max2-1,H,174.96,1"
"max2-1,W,82.51,1"
"max2-1,W,174.96,1"
"wrky54t,W,82.51,1"
"wrky54t,W,174.96,1"
"wrky54t,H,174.96,1"
"bri-301,W,82.51,1"
"bri-301,H,174.96,1"
"bri-301,W,174.96,1"
"WT,H,174.96,1"
"WT,W,174.96,1"
"WT,W,82.51,1"
"nbr1-1,H,174.96,1"
"nbr1-1,W,82.51,1"
"nbr1-1,W,174.96,1"
"wrky54t,W,174.96,2"
"wrky54t,H,174.96,2"
"wrky54t,W,82.51,2"
"SINAT-RNAi,W,174.96,2"
"SINAT-RNAi,H,174.96,2"
"SINAT-RNAi,W,82.51,2"
"nbr1-1,H,174.96,2"
"nbr1-1,W,174.96,2"
"nbr1-1,W,82.51,2"
"bri-301,W,82.51,2"
"bri-301,W,174.96,2"
"bri-301,H,174.96,2"
"max2-1,W,174.96,2"
"max2-1,W,82.51,2"
"max2-1,H,174.96,2"
"DSK2-RNAi,H,174.96,2"
"DSK2-RNAi,W,82.51,2"
"DSK2-RNAi,W,174.96,2"
"atg7-2,W,82.51,2"
"atg7-2,W,174.96,2"
"atg7-2,H,174.96,2"
"wrky54t-nbr1-1,W,174.96,2"
"wrky54t-nbr1-1,W,82.51,2"
"wrky54t-nbr1-1,H,174.96,2"
"WT,W,82.51,2"
"WT,H,174.96,2"
"WT,W,174.96,2"
"bes1-D,W,82.51,2"
"bes1-D,W,174.96,2"
"bes1-D,H,174.96,2"
"DSK2-RNAi,W,82.51,3"
"DSK2-RNAi,W,174.96,3"
"DSK2-RNAi,H,174.96,3"
"atg7-2,H,174.96,3"
"atg7-2,W,82.51,3"
"atg7-2,W,174.96,3"
"SINAT-RNAi,H,174.96,3"
"SINAT-RNAi,W,82.51,3"
"SINAT-RNAi,W,174.96,3"
"wrky54t,W,82.51,3"
"wrky54t,H,174.96,3"
"wrky54t,W,174.96,3"
"WT,W,174.96,3"
"WT,W,82.51,3"
"WT,H,174.96,3"
"bri-301,W,174.96,3"
"bri-301,H,174.96,3"
"bri-301,W,82.51,3"
"bes1-D,W,82.51,3"
"bes1-D,W,174.96,3"
"bes1-D,H,174.96,3"
"max2-1,W,174.96,3"
"max2-1,W,82.51,3"
"max2-1,H,174.96,3"
"wrky54t-nbr1-1,W,82.51,3"
"wrky54t-nbr1-1,H,174.96,3"
"wrky54t-nbr1-1,W,174.96,3"
"nbr1-1,W,174.96,3"
"nbr1-1,H,174.96,3"
"nbr1-1,W,82.51,3"
"SINAT-RNAi,W,174.96,4"
"SINAT-RNAi,H,174.96,4"
"SINAT-RNAi,W,82.51,4"
"max2-1,W,174.96,4"
"max2-1,W,82.51,4"
"max2-1,H,174.96,4"
"atg7-2,W,174.96,4"
"atg7-2,H,174.96,4"
"atg7-2,W,82.51,4"
"wrky54t-nbr1-1,W,82.51,4"
"wrky54t-nbr1-1,H,174.96,4"
"wrky54t-nbr1-1,W,174.96,4"
"WT,W,82.51,4"
"WT,W,174.96,4"
"WT,H,174.96,4"
"bri-301,W,174.96,4"
"bri-301,H,174.96,4"
"bri-301,W,82.51,4"
"wrky54t,W,174.96,4"
"wrky54t,H,174.96,4"
"wrky54t,W,82.51,4"
"DSK2-RNAi,H,174.96,4"
"DSK2-RNAi,W,82.51,4"
"DSK2-RNAi,W,174.96,4"
"nbr1-1,W,82.51,4"
"nbr1-1,H,174.96,4"
"nbr1-1,W,174.96,4"
"bes1-D,W,174.96,4"
"bes1-D,W,82.51,4"
"bes1-D,H,174.96,4"
"nbr1-1,H,174.96,5"
"nbr1-1,W,82.51,5"
"nbr1-1,W,174.96,5"
"max2-1,W,82.51,5"
"max2-1,W,174.96,5"
"max2-1,H,174.96,5"
"atg7-2,H,174.96,5"
"atg7-2,W,82.51,5"
"atg7-2,W,174.96,5"
"DSK2-RNAi,H,174.96,5"
"DSK2-RNAi,W,174.96,5"
"DSK2-RNAi,W,82.51,5"
"bes1-D,H,174.96,5"
"bes1-D,W,82.51,5"
"bes1-D,W,174.96,5"
"SINAT-RNAi,W,174.96,5"
"SINAT-RNAi,H,174.96,5"
"SINAT-RNAi,W,82.51,5"
"wrky54t-nbr1-1,W,174.96,5"
"wrky54t-nbr1-1,H,174.96,5"
"wrky54t-nbr1-1,W,82.51,5"
"wrky54t,W,82.51,5"
"wrky54t,W,174.96,5"
"wrky54t,H,174.96,5"
"bri-301,H,174.96,5"
"bri-301,W,174.96,5"
"bri-301,W,82.51,5"
"WT,W,174.96,5"
"WT,W,82.51,5"
"WT,H,174.96,5"
"wrky54t-nbr1-1,W,82.51,6"
"wrky54t-nbr1-1,H,174.96,6"
"wrky54t-nbr1-1,W,174.96,6"
"bri-301,W,174.96,6"
"bri-301,H,174.96,6"
"bri-301,W,82.51,6"
"SINAT-RNAi,W,174.96,6"
"SINAT-RNAi,W,82.51,6"
"SINAT-RNAi,H,174.96,6"
"WT,W,174.96,6"
"WT,W,82.51,6"
"WT,H,174.96,6"
"bes1-D,H,174.96,6"
"bes1-D,W,82.51,6"
"bes1-D,W,174.96,6"
"atg7-2,H,174.96,6"
"atg7-2,W,82.51,6"
"atg7-2,W,174.96,6"
"wrky54t,W,82.51,6"
"wrky54t,W,174.96,6"
"wrky54t,H,174.96,6"
"DSK2-RNAi,H,174.96,6"
"DSK2-RNAi,W,174.96,6"
"DSK2-RNAi,W,82.51,6"
"max2-1,H,174.96,6"
"max2-1,W,82.51,6"
"max2-1,W,174.96,6"
"nbr1-1,W,82.51,6"
"nbr1-1,H,174.96,6"
"nbr1-1,W,174.96,6"
"max2-1,W,174.96,7"
"max2-1,W,82.51,7"
"max2-1,H,174.96,7"
"wrky54t-nbr1-1,W,82.51,7"
"wrky54t-nbr1-1,W,174.96,7"
"wrky54t-nbr1-1,H,174.96,7"
"atg7-2,W,82.51,7"
"atg7-2,H,174.96,7"
"atg7-2,W,174.96,7"
"nbr1-1,W,174.96,7"
"nbr1-1,W,82.51,7"
"nbr1-1,H,174.96,7"
"bes1-D,W,82.51,7"
"bes1-D,W,174.96,7"
"bes1-D,H,174.96,7"
"SINAT-RNAi,W,82.51,7"
"SINAT-RNAi,W,174.96,7"
"SINAT-RNAi,H,174.96,7"
"wrky54t,W,82.51,7"
"wrky54t,W,174.96,7"
"wrky54t,H,174.96,7"
"bri-301,W,174.96,7"
"bri-301,H,174.96,7"
"bri-301,W,82.51,7"
"WT,W,174.96,7"
"WT,H,174.96,7"
"WT,W,82.51,7"
"DSK2-RNAi,H,174.96,7"
"DSK2-RNAi,W,174.96,7"
"DSK2-RNAi,W,82.51,7"
"nbr1-1,W,174.96,8"
"nbr1-1,W,82.51,8"
"nbr1-1,H,174.96,8"
"bri-301,W,174.96,8"
"bri-301,H,174.96,8"
"bri-301,W,82.51,8"
"max2-1,H,174.96,8"
"max2-1,W,82.51,8"
"max2-1,W,174.96,8"
"bes1-D,W,174.96,8"
"bes1-D,W,82.51,8"
"bes1-D,H,174.96,8"
"wrky54t,W,82.51,8"
"wrky54t,H,174.96,8"
"wrky54t,W,174.96,8"
"wrky54t-nbr1-1,W,174.96,8"
"wrky54t-nbr1-1,W,82.51,8"
"wrky54t-nbr1-1,H,174.96,8"
"WT,W,82.51,8"
"WT,H,174.96,8"
"WT,W,174.96,8"
"SINAT-RNAi,W,174.96,8"
"SINAT-RNAi,W,82.51,8"
"SINAT-RNAi,H,174.96,8"
"atg7-2,W,174.96,8"
"atg7-2,W,82.51,8"
