geno,treatment,rep,weight
pot,water,1,120
pot,additive,2,50
pot,water,1,120
pot,additive,2,50
pot,water,1,120
pot,additive,2,50
pot,water,1,200
pot,additive,2,50
pot,water,1,120
pot,additive,2,50
pot,water,1,120
pot,additive,2,50
pot,water,1,120
pot,additive,2,50
pot,water,1,120
pot,additive,2,50
pot,water,1,120
pot,additive,2,50
pot,water,1,120
pot,additive,2,50
pot,water,1,120
pot,additive,2,50
pot,water,1,120
pot,additive,2,50
pot,water,1,120
pot,additive,2,50
pot,water,1,120
pot,additive,2,50
pot,water,1,120
pot,additive,2,50
pot,water,1,120
pot,additive,2,50
pot,water,1,120
pot,additive,2,50
pot,water,1,120
pot,additive,2,50
pot,water,1,120
pot,additive,2,50
pot,water,1,120
pot,additive,2,50
pot,water,1,120
pot,additive,2,50
pot,water,1,120
pot,additive,2,50
pot,water,1,120
pot,additive,2,50
pot,water,1,120
pot,additive,2,50
pot,water,1,120
pot,additive,2,50
pot,water,1,120
pot,additive,2,50
pot,water,1,120
pot,additive,2,50
pot,water,1,120
pot,additive,2,50
